T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT,DISTRICT NAME,CHARTER STATUS,GRADE,ENROLLMENT
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 9,1370
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 10,976
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 11,879
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 12,855
2023-2024,10,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Grade 5,<10
2023-2024,10,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Grade 6,<10
2023-2024,10,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Grade 7,14
2023-2024,10,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Grade 8,17
2023-2024,10,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Grade 9,177
2023-2024,10,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Grade 10,94
2023-2024,10,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Grade 11,25
2023-2024,10,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Grade 12,13
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Early Education,28
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,32
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Kindergarten,112
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 1,128
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 2,143
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 3,142
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 4,140
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 5,149
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 6,133
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 7,132
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 8,136
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 9,152
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 10,143
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 11,131
2023-2024,12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,Grade 12,113
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Pre-kindergarten,93
2023-2024,4,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Kindergarten,88
