T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT,DISTRICT NAME,CHARTER STATUS,GRADE,ENROLLMENT
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,33
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Kindergarten,24
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 1,26
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 2,30
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 3,21
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 4,24
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 5,19
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 6,16
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 7,35
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 8,27
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 9,30
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 10,25
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 11,24
2023-2024,1,WILLACY COUNTY,245901,LASARA ISD,TRADITIONAL ISD/CSD,Grade 12,22
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<30
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Kindergarten,34
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 1,38
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 2,40
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 3,42
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 4,35
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 5,41
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 6,34
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 7,35
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 8,31
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 9,40
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 10,31
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 11,37
2023-2024,6,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,Grade 12,33
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<10
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Kindergarten,11
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 1,<10
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 2,<10
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 3,12
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 4,<10
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 5,<10
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 6,<10
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 7,13
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 8,12
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 9,<10
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 10,10
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 11,11
2023-2024,16,PARMER COUNTY,185904,LAZBUDDIE ISD,TRADITIONAL ISD/CSD,Grade 12,<10
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Kindergarten,99
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 1,100
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 2,99
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 3,100
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 4,100
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 5,138
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 6,136
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 7,120
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 8,125
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 9,101
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 10,92
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 11,81
2023-2024,10,DENTON COUNTY,61804,LEADERSHIP PREP SCHOOL,OPEN ENROLLMENT CHARTER,Grade 12,88
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,36
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Kindergarten,27
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 1,25
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 2,<20
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 3,29
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 4,23
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 5,19
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 6,29
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 7,31
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 8,25
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 9,29
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 10,27
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 11,21
2023-2024,20,REAL COUNTY,193902,LEAKEY ISD,TRADITIONAL ISD/CSD,Grade 12,28
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Early Education,220
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,1187
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Kindergarten,2575
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 1,2724
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 2,2978
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 3,3004
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 4,3163
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 5,3138
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 6,3133
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 7,3311
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 8,3387
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 9,3444
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 10,3582
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 11,3400
2023-2024,13,WILLIAMSON COUNTY,246913,LEANDER ISD,TRADITIONAL ISD/CSD,Grade 12,3347
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,34
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Kindergarten,13
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Grade 1,<10
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Grade 2,17
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Grade 3,12
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Grade 4,11
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Grade 5,<10
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Grade 6,<10
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Grade 7,<10
2023-2024,8,BOWIE COUNTY,19914,LEARY ISD,TRADITIONAL ISD/CSD,Grade 8,<10
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,14
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Kindergarten,14
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 1,14
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 2,<10
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 3,18
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 4,18
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 5,16
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 6,10
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 7,<10
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 8,15
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 9,12
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 10,18
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 11,<10
2023-2024,16,GRAY COUNTY,90902,LEFORS ISD,TRADITIONAL ISD/CSD,Grade 12,11
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Pre-kindergarten,53
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Kindergarten,45
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 1,99
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 2,75
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 3,92
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 4,79
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 5,100
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 6,131
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 7,133
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 8,118
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 9,99
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 10,87
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 11,79
2023-2024,10,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,Grade 12,58
2023-2024,4,HARRIS COUNTY,101874,LEGACY SCHOOL OF SPORT SCIENCES,OPEN ENROLLMENT CHARTER,Grade 6,47
2023-2024,4,HARRIS COUNTY,101874,LEGACY SCHOOL OF SPORT SCIENCES,OPEN ENROLLMENT CHARTER,Grade 7,67
2023-2024,4,HARRIS COUNTY,101874,LEGACY SCHOOL OF SPORT SCIENCES,OPEN ENROLLMENT CHARTER,Grade 8,64
2023-2024,4,HARRIS COUNTY,101874,LEGACY SCHOOL OF SPORT SCIENCES,OPEN ENROLLMENT CHARTER,Grade 9,89
2023-2024,4,HARRIS COUNTY,101874,LEGACY SCHOOL OF SPORT SCIENCES,OPEN ENROLLMENT CHARTER,Grade 10,75
2023-2024,4,HARRIS COUNTY,101874,LEGACY SCHOOL OF SPORT SCIENCES,OPEN ENROLLMENT CHARTER,Grade 11,72
2023-2024,4,HARRIS COUNTY,101874,LEGACY SCHOOL OF SPORT SCIENCES,OPEN ENROLLMENT CHARTER,Grade 12,73
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Pre-kindergarten,209
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Kindergarten,230
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 1,193
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 2,164
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 3,179
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 4,148
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 5,170
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 6,158
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 7,125
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 8,87
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 9,23
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 10,30
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 11,19
2023-2024,20,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,OPEN ENROLLMENT CHARTER,Grade 12,19
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,14
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Kindergarten,17
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 1,16
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 2,18
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 3,13
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 4,11
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 5,15
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 6,11
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 7,16
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 8,12
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 9,17
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 10,15
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 11,16
2023-2024,6,POLK COUNTY,187906,LEGGETT ISD,TRADITIONAL ISD/CSD,Grade 12,<10
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,56
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Kindergarten,47
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 1,58
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 2,57
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 3,52
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 4,51
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 5,48
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 6,49
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 7,53
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 8,60
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 9,55
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 10,64
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 11,<50
2023-2024,6,LEON COUNTY,145911,LEON ISD,TRADITIONAL ISD/CSD,Grade 12,57
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<20
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Kindergarten,48
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 1,53
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 2,50
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 3,66
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 4,53
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 5,53
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 6,65
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 7,76
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 8,74
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 9,64
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 10,58
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 11,68
2023-2024,10,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,Grade 12,65
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Early Education,29
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,154
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Kindergarten,177
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 1,172
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 2,191
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 3,174
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 4,186
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 5,186
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 6,193
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 7,195
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 8,201
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 9,208
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 10,218
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 11,179
2023-2024,17,HOCKLEY COUNTY,110902,LEVELLAND ISD,TRADITIONAL ISD/CSD,Grade 12,154
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,12
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Kindergarten,19
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 1,15
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 2,18
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 3,16
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 4,19
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 5,16
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 6,19
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 7,18
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 8,18
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 9,16
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 10,16
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 11,23
2023-2024,7,RUSK COUNTY,201904,LEVERETTS CHAPEL ISD,TRADITIONAL ISD/CSD,Grade 12,13
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Early Education,232
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,1206
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Kindergarten,3077
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 1,3231
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 2,3337
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 3,3352
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 4,3526
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 5,3392
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 6,3440
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 7,3623
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 8,3689
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 9,4085
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 10,4146
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 11,4041
2023-2024,11,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,Grade 12,4063
